BASE,CODIGO,STRIKE,EXPIRE,ATIVO,TIPO,E_SERIE
ELET,ELETO452,46.00,2023-04-20,ELET,VENDA,O
ELET,ELETE452,46.00,2023-05-19,ELET,COMPRA,E
ELET,ELETQ452,46.00,2023-05-19,ELET,VENDA,Q
ELET,ELETC455,46.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO455,46.00,2023-06-16,ELET,VENDA,O
ELET,ELETD455,46.00,2023-12-15,ELET,COMPRA,D
ELET,ELETP455,46.00,2023-12-15,ELET,VENDA,P
ELET,ELETF455,46.25,2023-03-17,ELET,COMPRA,F
ELET,ELETR455,46.25,2023-03-17,ELET,VENDA,R
ELET,ELETC457,46.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO457,46.50,2023-03-17,ELET,VENDA,O
ELET,ELETD457,46.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP457,46.50,2023-04-20,ELET,VENDA,P
ELET,ELETC460,46.50,2023-06-16,ELET,COMPRA,C
ELET,ELETO460,46.50,2023-06-16,ELET,VENDA,O
ELET,ELETD460,46.75,2023-03-17,ELET,COMPRA,D
ELET,ELETP460,46.75,2023-03-17,ELET,VENDA,P
ELET,ELETE460,46.75,2023-04-20,ELET,COMPRA,E
ELET,ELETQ460,46.75,2023-04-20,ELET,VENDA,Q
ELET,ELETF460,46.75,2023-06-16,ELET,COMPRA,F
ELET,ELETR460,46.75,2023-06-16,ELET,VENDA,R
ELET,ELETL460,47.00,2023-03-17,ELET,COMPRA,L
ELET,ELETX460,47.00,2023-03-17,ELET,VENDA,X
ELET,ELETC462,47.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO462,47.00,2023-04-20,ELET,VENDA,O
ELET,ELETC465,47.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO465,47.00,2023-06-16,ELET,VENDA,O
ELET,ELETD465,47.25,2023-03-17,ELET,COMPRA,D
ELET,ELETP465,47.25,2023-03-17,ELET,VENDA,P
ELET,ELETF465,47.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR465,47.50,2023-03-17,ELET,VENDA,R
ELET,ELETC467,47.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO467,47.50,2023-04-20,ELET,VENDA,O
ELET,ELETD467,47.50,2023-05-19,ELET,COMPRA,D
ELET,ELETP467,47.50,2023-05-19,ELET,VENDA,P
ELET,ELETF467,47.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR467,47.50,2023-06-16,ELET,VENDA,R
ELET,ELETC470,47.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO470,47.75,2023-03-17,ELET,VENDA,O
ELET,ELETD470,47.75,2023-06-16,ELET,COMPRA,D
ELET,ELETP470,47.75,2023-06-16,ELET,VENDA,P
ELET,ELETF470,48.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR470,48.00,2023-03-17,ELET,VENDA,R
ELET,ELETC472,48.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO472,48.00,2023-04-20,ELET,VENDA,O
ELET,ELETC475,48.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO475,48.00,2023-06-16,ELET,VENDA,O
ELET,ELETD475,48.00,2023-07-21,ELET,COMPRA,D
ELET,ELETP475,48.00,2023-07-21,ELET,VENDA,P
ELET,ELETE475,48.25,2023-03-17,ELET,COMPRA,E
ELET,ELETQ475,48.25,2023-03-17,ELET,VENDA,Q
ELET,ELETF475,48.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR475,48.50,2023-03-17,ELET,VENDA,R
ELET,ELETC477,48.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO477,48.50,2023-04-20,ELET,VENDA,O
ELET,ELETF477,48.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR477,48.50,2023-06-16,ELET,VENDA,R
ELET,ELETC480,48.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO480,48.75,2023-03-17,ELET,VENDA,O
ELET,ELETD480,49.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP480,49.00,2023-04-20,ELET,VENDA,P
ELET,ELETF480,49.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR480,49.00,2023-06-16,ELET,VENDA,R
ELET,ELETG480,49.00,2023-12-15,ELET,COMPRA,G
ELET,ELETS480,49.00,2023-12-15,ELET,VENDA,S
ELET,ELETC482,49.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO482,49.25,2023-03-17,ELET,VENDA,O
ELET,ELETC485,49.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO485,49.50,2023-04-20,ELET,VENDA,O
ELET,ELETD485,49.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP485,49.50,2023-06-16,ELET,VENDA,P
ELET,ELETF485,49.75,2023-03-17,ELET,COMPRA,F
ELET,ELETR485,49.75,2023-03-17,ELET,VENDA,R
ELET,ELETC487,50.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO487,50.00,2023-03-17,ELET,VENDA,O
